label,value,category,series
"2024-09-06",9.000000,"POSITIVE","Tích cực"
"2024-09-06",1.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",5.000000,"NEUTRAL","Trung tính"
"2024-09-07",8.000000,"POSITIVE","Tích cực"
"2024-09-07",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",7.000000,"NEUTRAL","Trung tính"
"2024-09-08",5.000000,"POSITIVE","Tích cực"
"2024-09-08",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",4.000000,"NEUTRAL","Trung tính"
"2024-09-09",1.000000,"POSITIVE","Tích cực"
"2024-09-09",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",1.000000,"NEUTRAL","Trung tính"
"2024-09-10",6.000000,"POSITIVE","Tích cực"
"2024-09-10",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",2.000000,"NEUTRAL","Trung tính"
"2024-09-11",4.000000,"POSITIVE","Tích cực"
"2024-09-11",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",6.000000,"NEUTRAL","Trung tính"
"2024-09-12",8.000000,"POSITIVE","Tích cực"
"2024-09-12",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",9.000000,"NEUTRAL","Trung tính"
"2024-09-13",12.000000,"POSITIVE","Tích cực"
"2024-09-13",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",5.000000,"NEUTRAL","Trung tính"
"2024-09-14",4.000000,"POSITIVE","Tích cực"
"2024-09-14",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",5.000000,"NEUTRAL","Trung tính"
"2024-09-15",3.000000,"POSITIVE","Tích cực"
"2024-09-15",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",4.000000,"NEUTRAL","Trung tính"
"2024-09-16",5.000000,"POSITIVE","Tích cực"
"2024-09-16",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",2.000000,"NEUTRAL","Trung tính"
"2024-09-17",6.000000,"POSITIVE","Tích cực"
"2024-09-17",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",2.000000,"NEUTRAL","Trung tính"
"2024-09-18",10.000000,"POSITIVE","Tích cực"
"2024-09-18",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",6.000000,"NEUTRAL","Trung tính"
"2024-09-19",11.000000,"POSITIVE","Tích cực"
"2024-09-19",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",5.000000,"NEUTRAL","Trung tính"
"2024-09-20",6.000000,"POSITIVE","Tích cực"
"2024-09-20",12.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",3.000000,"NEUTRAL","Trung tính"
"2024-09-21",10.000000,"POSITIVE","Tích cực"
"2024-09-21",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",3.000000,"NEUTRAL","Trung tính"
"2024-09-22",12.000000,"POSITIVE","Tích cực"
"2024-09-22",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",2.000000,"NEUTRAL","Trung tính"
"2024-09-23",5.000000,"POSITIVE","Tích cực"
"2024-09-23",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",3.000000,"NEUTRAL","Trung tính"
"2024-09-24",8.000000,"POSITIVE","Tích cực"
"2024-09-24",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",4.000000,"NEUTRAL","Trung tính"
"2024-09-25",8.000000,"POSITIVE","Tích cực"
"2024-09-25",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",3.000000,"NEUTRAL","Trung tính"
"2024-09-26",2.000000,"POSITIVE","Tích cực"
"2024-09-26",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",2.000000,"NEUTRAL","Trung tính"
"2024-09-27",9.000000,"POSITIVE","Tích cực"
"2024-09-27",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",3.000000,"NEUTRAL","Trung tính"
"2024-09-28",4.000000,"POSITIVE","Tích cực"
"2024-09-28",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",8.000000,"NEUTRAL","Trung tính"
"2024-09-29",4.000000,"POSITIVE","Tích cực"
"2024-09-29",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",3.000000,"NEUTRAL","Trung tính"
"2024-09-30",7.000000,"POSITIVE","Tích cực"
"2024-09-30",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",2.000000,"NEUTRAL","Trung tính"
