id,source,authorId,authorName,timestamp,content,likeCount,shareCount,commentCount,language
"Twitter_1778812454106_4","Twitter","user_212","User 93","2024-09-07 03:25:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",323,37,25,"vi"
"Twitter_1778812454106_3","Twitter","user_458","User 387","2024-09-08 02:50:00","theo dự báo  bão sẽ suy yếu dần trong 24 giờ tới",85,17,27,"vi"
"Twitter_1778812454107_14","Twitter","user_322","User 923","2024-09-10 14:32:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",238,32,22,"vi"
"Twitter_1778812454106_6","Twitter","user_160","User 410","2024-09-11 16:03:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",397,19,2,"vi"
"Twitter_1778812454107_13","Twitter","user_795","User 606","2024-09-13 10:38:00","bão yagi là chủ đề đang được quan tâm",323,52,32,"vi"
"Twitter_1778812454107_15","Twitter","user_168","User 525","2024-09-13 16:53:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",27,21,23,"vi"
"Twitter_1778812454106_8","Twitter","user_453","User 429","2024-09-18 01:40:00","chính quyền đã hỗ trợ tiền mặt kịp thời cho các hộ dân bị thiệt hại",125,93,0,"vi"
"Twitter_1778812454107_16","Twitter","user_904","User 803","2024-09-18 22:41:00","hàng cứu trợ đến chậm  phân phối không công bằng",130,35,21,"vi"
"Twitter_1778812454107_12","Twitter","user_275","User 522","2024-09-19 01:31:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",31,70,6,"vi"
"Twitter_1778812454106_9","Twitter","user_594","User 403","2024-09-20 15:09:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",244,98,29,"vi"
"Twitter_1778812454103_0","Twitter","user_130","User 763","2024-09-20 18:25:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",5,18,19,"vi"
"Twitter_1778812454107_11","Twitter","user_328","User 870","2024-09-21 21:23:00","bão yagi đã đổ bộ vào các tỉnh miền bắc với sức gió mạnh nhất",411,9,46,"vi"
"Twitter_1778812454106_2","Twitter","user_743","User 209","2024-09-22 18:33:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",243,41,30,"vi"
"Twitter_1778812454106_7","Twitter","user_601","User 94","2024-09-22 19:15:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",499,90,1,"vi"
"Twitter_1778812454107_17","Twitter","user_755","User 481","2024-09-24 23:02:00","mất điện  mất nước đã 3 ngày  cuộc sống vô cùng khó khăn",441,84,46,"vi"
"Twitter_1778812454107_19","Twitter","user_434","User 741","2024-09-25 05:12:00","nhà cửa bị sập hoàn toàn sau bão  không biết bao giờ mới xây lại được",496,29,42,"vi"
"Twitter_1778812454106_10","Twitter","user_747","User 696","2024-09-27 00:03:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",229,76,26,"vi"
"Twitter_1778812454106_1","Twitter","user_93","User 182","2024-09-27 10:56:00","hàng cứu trợ đến chậm  phân phối không công bằng",32,56,20,"vi"
"Twitter_1778812454107_18","Twitter","user_740","User 610","2024-09-28 10:09:00","chính quyền đã hỗ trợ tiền mặt kịp thời cho các hộ dân bị thiệt hại",29,91,24,"vi"
"Twitter_1778812454106_5","Twitter","user_534","User 807","2024-09-30 08:13:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",440,58,6,"vi"
"Twitter_1778812454110_9","Twitter","user_438","User 391","2024-09-17 11:32:00","yagi là chủ đề đang được quan tâm",201,21,2,"vi"
"Twitter_1778812454110_17","Twitter","user_934","User 721","2024-09-25 17:48:00","chính quyền đã hỗ trợ tiền mặt kịp thời cho các hộ dân bị thiệt hại",375,68,34,"vi"
"Twitter_1778812454110_15","Twitter","user_721","User 74","2024-09-20 02:53:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",176,91,23,"vi"
"Twitter_1778812454110_14","Twitter","user_786","User 254","2024-09-19 02:47:00","người dân vùng lũ đang rất cần được cứu trợ khẩn cấp  chưa thấy ai đến",234,4,13,"vi"
"Twitter_1778812454110_10","Twitter","user_230","User 678","2024-09-19 08:07:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",364,41,38,"vi"
"Twitter_1778812454110_11","Twitter","user_125","User 281","2024-09-23 09:48:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",497,43,24,"vi"
"Twitter_1778812454110_18","Twitter","user_725","User 51","2024-09-15 06:18:00","đường sá bị ngập nặng  giao thông tê liệt hoàn toàn  không thể di chuyển",338,42,14,"vi"
"Twitter_1778812454110_1","Twitter","user_380","User 895","2024-09-21 19:32:00","nhà cửa bị sập hoàn toàn sau bão  không biết bao giờ mới xây lại được",366,29,44,"vi"
"Twitter_1778812454110_19","Twitter","user_974","User 182","2024-09-19 14:30:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",275,13,11,"vi"
"Twitter_1778812454110_7","Twitter","user_95","User 974","2024-09-10 11:54:00","yagi là chủ đề đang được quan tâm",253,54,19,"vi"
"Twitter_1778812454110_3","Twitter","user_145","User 515","2024-09-14 15:08:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",29,55,26,"vi"
"Twitter_1778812454110_13","Twitter","user_65","User 425","2024-09-10 06:45:00","yagi là chủ đề đang được quan tâm",148,30,17,"vi"
"Twitter_1778812454110_8","Twitter","user_711","User 408","2024-09-30 12:41:00","bão yagi đã đổ bộ vào các tỉnh miền bắc với sức gió mạnh nhất",404,0,4,"vi"
"Twitter_1778812454110_5","Twitter","user_833","User 968","2024-09-10 16:40:00","mất điện  mất nước đã 3 ngày  cuộc sống vô cùng khó khăn",431,37,38,"vi"
"Twitter_1778812454110_4","Twitter","user_717","User 546","2024-09-17 02:37:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",347,43,28,"vi"
"Twitter_1778812454109_0","Twitter","user_46","User 589","2024-09-28 05:05:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",36,45,42,"vi"
"Twitter_1778812454110_16","Twitter","user_150","User 970","2024-09-18 13:34:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",319,33,24,"vi"
"Twitter_1778812454110_6","Twitter","user_208","User 94","2024-09-06 21:50:00","hàng cứu trợ đến chậm  phân phối không công bằng",249,48,43,"vi"
"Twitter_1778812454110_2","Twitter","user_165","User 588","2024-09-21 15:25:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",302,87,42,"vi"
"Twitter_1778812454110_12","Twitter","user_599","User 746","2024-09-13 08:36:00","theo dự báo  bão sẽ suy yếu dần trong 24 giờ tới",306,94,30,"vi"
"Twitter_1778812454110_0","Twitter","user_100","User 1","2024-09-13 19:06:00","theo dự báo  bão sẽ suy yếu dần trong 24 giờ tới",174,27,48,"vi"
"Twitter_1778812454111_19","Twitter","user_492","User 949","2024-09-30 06:24:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",148,78,21,"vi"
"Twitter_1778812454111_1","Twitter","user_544","User 304","2024-09-27 19:50:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",488,32,13,"vi"
"Twitter_1778812454111_15","Twitter","user_485","User 291","2024-09-29 14:13:00","đường sá bị ngập nặng  giao thông tê liệt hoàn toàn  không thể di chuyển",371,16,44,"vi"
"Twitter_1778812454111_9","Twitter","user_271","User 29","2024-09-30 20:11:00","cứu trợ là chủ đề đang được quan tâm",52,16,3,"vi"
"Twitter_1778812454111_8","Twitter","user_362","User 282","2024-09-08 23:22:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",230,46,5,"vi"
"Twitter_1778812454111_2","Twitter","user_628","User 788","2024-09-13 17:40:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",199,82,38,"vi"
"Twitter_1778812454111_5","Twitter","user_630","User 364","2024-09-07 12:44:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",101,90,5,"vi"
