label,value,category,series
"2024-09-06",12.000000,"POSITIVE","Tích cực"
"2024-09-06",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",5.000000,"NEUTRAL","Trung tính"
"2024-09-07",14.000000,"POSITIVE","Tích cực"
"2024-09-07",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",6.000000,"NEUTRAL","Trung tính"
"2024-09-08",12.000000,"POSITIVE","Tích cực"
"2024-09-08",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",5.000000,"NEUTRAL","Trung tính"
"2024-09-09",5.000000,"POSITIVE","Tích cực"
"2024-09-09",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",1.000000,"NEUTRAL","Trung tính"
"2024-09-10",11.000000,"POSITIVE","Tích cực"
"2024-09-10",11.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",4.000000,"NEUTRAL","Trung tính"
"2024-09-11",12.000000,"POSITIVE","Tích cực"
"2024-09-11",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",8.000000,"NEUTRAL","Trung tính"
"2024-09-12",13.000000,"POSITIVE","Tích cực"
"2024-09-12",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",8.000000,"NEUTRAL","Trung tính"
"2024-09-13",15.000000,"POSITIVE","Tích cực"
"2024-09-13",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",10.000000,"NEUTRAL","Trung tính"
"2024-09-14",8.000000,"POSITIVE","Tích cực"
"2024-09-14",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",6.000000,"NEUTRAL","Trung tính"
"2024-09-15",9.000000,"POSITIVE","Tích cực"
"2024-09-15",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",7.000000,"NEUTRAL","Trung tính"
"2024-09-16",3.000000,"POSITIVE","Tích cực"
"2024-09-16",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",3.000000,"NEUTRAL","Trung tính"
"2024-09-17",16.000000,"POSITIVE","Tích cực"
"2024-09-17",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",5.000000,"NEUTRAL","Trung tính"
"2024-09-18",12.000000,"POSITIVE","Tích cực"
"2024-09-18",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",9.000000,"NEUTRAL","Trung tính"
"2024-09-19",16.000000,"POSITIVE","Tích cực"
"2024-09-19",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",7.000000,"NEUTRAL","Trung tính"
"2024-09-20",12.000000,"POSITIVE","Tích cực"
"2024-09-20",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",6.000000,"NEUTRAL","Trung tính"
"2024-09-21",16.000000,"POSITIVE","Tích cực"
"2024-09-21",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",7.000000,"NEUTRAL","Trung tính"
"2024-09-22",16.000000,"POSITIVE","Tích cực"
"2024-09-22",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",2.000000,"NEUTRAL","Trung tính"
"2024-09-23",8.000000,"POSITIVE","Tích cực"
"2024-09-23",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",6.000000,"NEUTRAL","Trung tính"
"2024-09-24",14.000000,"POSITIVE","Tích cực"
"2024-09-24",14.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",7.000000,"NEUTRAL","Trung tính"
"2024-09-25",10.000000,"POSITIVE","Tích cực"
"2024-09-25",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",2.000000,"NEUTRAL","Trung tính"
"2024-09-26",11.000000,"POSITIVE","Tích cực"
"2024-09-26",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",2.000000,"NEUTRAL","Trung tính"
"2024-09-27",12.000000,"POSITIVE","Tích cực"
"2024-09-27",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",6.000000,"NEUTRAL","Trung tính"
"2024-09-28",8.000000,"POSITIVE","Tích cực"
"2024-09-28",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",6.000000,"NEUTRAL","Trung tính"
"2024-09-29",9.000000,"POSITIVE","Tích cực"
"2024-09-29",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",6.000000,"NEUTRAL","Trung tính"
"2024-09-30",6.000000,"POSITIVE","Tích cực"
"2024-09-30",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",2.000000,"NEUTRAL","Trung tính"
